Pair_key,A_hebrew,A_name,A_fsctf,A_role,A_zx,A_fractal,A_SY,A_SY_idx,A_SY_tag,A_hebrew_idx,A_Path32,B_hebrew,B_name,B_fsctf,B_role,B_zx,B_fractal,B_SY,B_SY_idx,B_SY_tag,B_hebrew_idx,B_Path32,Class_pair,Motif,Fractal_Interplay,ZX_Undirected
אב,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,Double-Mother,composite,seed_in_cell,I / no-op ↔ Z-spider (copy/merge)
אג,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,Double-Mother,composite,composed_attractors,I / no-op ↔ H / basis-bridge
אד,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ד,Dalet,ε,gate,controlled-phase,poincare_section,Double,3,D3,4,14,Double-Mother,composite,composed_attractors,I / no-op ↔ controlled-phase
אה,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ה,Heh,E,enact,X-rotation (actuation),limit_cycle_onset,Simple,1,S1,5,15,Mother-Simple,composite,composed_attractors,I / no-op ↔ X-rotation (actuation)
או,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,Mother-Simple,composite,composed_attractors,I / no-op ↔ spider fusion / entangler
אז,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,Mother-Simple,composite,composed_attractors,I / no-op ↔ Z-projector / split
אח,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Mother-Simple,composite,composed_attractors,I / no-op ↔ boundary / cup-cap shell
אט,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Mother-Simple,composite,composed_attractors,I / no-op ↔ Y-rotation (quadrature)
אי,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Mother-Simple,composite,composed_attractors,I / no-op ↔ phase-kick (tiny)
אכ,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Mother,composite,composed_attractors,I / no-op ↔ Z-phase / global bias
אל,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Mother-Simple,composite,composed_attractors,I / no-op ↔ normalization / ZX-NF
אמ,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Mother,composite,composed_attractors,I / no-op ↔ trace/feedback loop
אנ,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Mother-Simple,composite,composed_attractors,I / no-op ↔ discard+reset / damping
אס,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Mother-Simple,composite,composed_attractors,I / no-op ↔ isometry + projector
אע,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Mother-Simple,composite,composed_attractors,I / no-op ↔ measurement (axis v)
אפ,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Mother,composite,composed_attractors,I / no-op ↔ oracle/eval box
אצ,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Mother-Simple,composite,composed_attractors,I / no-op ↔ postselect / path lock
אק,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Mother-Simple,composite,composed_attractors,I / no-op ↔ Hadamard-X macro
אר,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Mother,composite,composed_attractors,I / no-op ↔ Z-H conjugation
אש,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Mother,composite,composed_attractors,I / no-op ↔ chaotic mixer (macro)
את,א,Aleph,τ,threshold_silence,I / no-op,seed_fixed_point,Mother,1,M1,1,11,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Mother,composite,composed_attractors,I / no-op ↔ global close / terminal
בג,ב,Bet,κ,container,Z-spider (copy/merge),lattice_cell,Double,1,D1,2,12,ג,Gimel,γ,bridge,H / basis-bridge,geodesic_web,Double,2,D2,3,13,Double-Double,housed_transport,composed_attractors,Z-spider (copy/merge) ↔ H / basis-bridge
